Manga series,Author,Publisher,Demographic,No. of collected volumes,Serialized,Approximate sales in million,Average sales per volume in million,Link
One Piece,Eiichiro Oda,Shueisha,Shōnen,104,1997–present,516.6,4.97,img/1.jpg
Golgo 13,"Takao Saito, Saito Production",Shogakukan,Seinen,207,1968–present,300,1.45,img/2.jpg
Case Closed / Detective Conan,Gosho Aoyama,Shogakukan,Shōnen,102,1994–present,270,2.65,img/3.jpg
Dragon Ball,Akira Toriyama,Shueisha,Shōnen,42,1984–1995,260,6.19,img/4.jpg
Doraemon,Fujiko F. Fujio,Shogakukan,Children,45,1969–1996,250,4.71,img/5.jpg
Naruto,Masashi Kishimoto,Shueisha,Shōnen,72,1999–2014,250,3.47,img/6.jpg
Slam Dunk,Takehiko Inoue,Shueisha,Shōnen,31,1990–1996,170,5.48,img/7.jpg
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,Shōnen,201,1976–2016,156.5,0.78,img/8.jpg
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,Shōnen,23,2016–2020,150,6.52,img/9.jpg
Oishinbo,"Tetsu Kariya, Akira Hanasaki",Shogakukan,Seinen,111,1983–2014 (on hiatus),135,1.22,img/1.jpg
Bleach,Tite Kubo,Shueisha,Shōnen,74,2001–2016,130,1.75,img/2.jpg
JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,Shōnen/Seinen,131,1987–present,120,0.92,img/3.jpg
Attack on Titan,Hajime Isayama,Kodansha,Shōnen,34,2009–2021,110,3.23,img/4.jpg
Astro Boy,Osamu Tezuka,Kobunsha,Shōnen,23,1952–1968,100,4.35,img/5.jpg
Fist of the North Star,"Buronson, Tetsuo Hara",Shueisha,Shōnen,27,1983–1988,100,3.7,img/6.jpg
Hajime no Ippo,George Morikawa,Kodansha,Shōnen,134,1989–present,100,0.74,img/7.jpg
The Kindaichi Case Files,"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",Kodansha,Shōnen/Seinen,90,1992–present,100,1.11,img/8.jpg
